id1,id2,link
51824117,51824408,0
51821460,51824607,0
51826508,51826854,0
51823185,51828581,0
51821491,51829359,0
51823082,51829762,1
51823255,51832376,0
51827083,51832772,0
51830663,51832996,0
51830144,51833162,0
51823983,51834024,0
51828370,51834034,1
51828095,51834631,0
51827830,51835606,1
51821260,51835606,1
51825073,51837336,0
51836030,51837432,0
51825303,51838283,0
51828278,51838463,1
51838952,51839745,1
51822968,51840412,0
51832608,51841415,1
51840576,51842078,1
51824709,51842149,0
51838201,51842350,1
51824447,51842626,0
51824249,51842626,1
51841968,51842766,0
51838674,51843289,0
51841095,51844272,0
51826206,51844693,0
51838889,51845081,1
51827185,51845146,0
51825206,51845697,1
51842876,51846254,0
51841618,51846398,0
51831678,51847200,0
51831928,51847874,0
51833184,51848695,0
51845508,51848975,0
51820912,51849165,0
51841894,51849403,1
51831914,51849492,0
51838277,51849613,1
51843287,51850025,0
51823380,51850220,1
51850362,51850526,1
51823991,51850932,1
51844693,51851222,0
51845005,51851277,1
51823941,51851833,0
51840453,51852021,1
51825559,51852226,0
51837842,51852599,1
51843660,51854158,1
51836768,51854342,0
51832255,51854471,1
51853866,51854978,1
51849380,51855076,0
51841190,51855488,0
51833383,51855524,1
51841599,51855790,0
51855084,51855843,1
51832735,51856953,0
51821478,51857416,1
51830936,51857874,1
51843979,51858054,1
51820762,51858267,0
51849595,51858333,0
51840148,51858333,0
51833029,51858510,0
51854029,51858684,0
51856173,51858738,0
51846871,51859262,0
51827239,51859508,0
51840640,51859579,0
51849908,51859742,1
51829640,51860182,0
51845668,51860361,1
51829281,51860361,1
51848640,51860696,0
51860361,51861234,1
51839992,51861768,0
51858625,51862396,1
51860934,51862538,1
51842407,51863115,0
51834996,51863484,1
51847130,51863939,1
51843610,51864091,1
51861789,51864218,0
51830145,51864309,0
51824702,51864901,0
51837245,51864914,1
51838283,51864935,0
51858444,51864995,0
51821423,51865243,0
51850538,51865425,0
51825858,51865477,0
51856850,51865527,0
51837873,51865683,1
51853087,51865860,0
51821109,51866076,1
51862858,51866076,1
51843188,51866364,1
51839729,51866397,1
51849699,51866397,1
51849587,51866509,1
51833467,51866591,0
51832495,51867094,1
51837677,51867314,1
51832253,51867352,0
51848576,51867424,0
51825367,51868201,1
51835622,51868253,0
51828309,51868341,0
51850932,51868506,1
51836911,51868746,1
51824699,51868798,1
51826528,51868956,0
51861069,51869178,0
51859430,51869469,0
51866800,51869994,0
51844952,51870007,0
51851780,51870200,0
51847608,51870200,0
51824709,51885964,1
51864858,51885964,1
51839253,51885964,1
51861234,51886018,0
51840891,51886054,1
51852557,51886107,0
51857133,51886680,1
51841338,51886692,0
51840678,51886841,0
51866516,51887032,0
51862970,51887122,0
51836486,51887499,1
51825417,51887623,1
51860001,51887782,0
51849503,51887878,0
51829441,51887937,0
51853546,51888005,1
51856241,51888043,0
51828725,51888309,1
51831998,51888337,0
51842511,51888576,0
51835607,51889204,1
51829321,51889968,0
51887895,51890059,1
51823243,51890069,1
51829747,51890150,0
51845142,51890345,1
51855488,51890345,1
51867973,51890509,1
51832071,51890826,0
51862068,51890935,1
51888300,51890935,0
51846990,51890987,1
51842201,51891193,0
51838433,51891269,0
51855744,51891399,1
51855632,51891410,1
51852599,51891731,1
51849503,51891844,0
51844412,51891860,1
51840349,51891959,1
51821355,51892059,1
51866445,51892273,0
51850828,51892332,0
51844196,51892574,1
51828918,51892657,0
51889966,51892717,1
51861397,51892875,1
51889008,51893154,1
51854612,51893513,1
51867541,51893755,0
51851921,51893917,1
51854329,51894129,1
51888769,51894348,0
51829890,51894369,1
51852857,51894461,1
51855061,51894734,1
51862858,51894824,0
51847518,51894857,1
51825060,51894886,1
51831763,51894892,1
51826888,51895173,1
51829411,51895261,0
51895743,51895791,1
51891545,51896109,0
51889185,51896516,0
51859563,51896912,1
51838153,51897144,0
51834914,51897177,0
51861477,51897199,1
51840877,51897212,0
51835084,51897501,1
51837817,51897538,0
51832270,51897598,1
51862626,51897722,0
51859024,51897893,0
51827802,51898680,1
51847889,51898966,1
51857275,51899075,0
51841611,51899448,0
51854065,51899636,0
51837842,51899699,1
51865265,51899705,0
51842662,51899727,1
51899705,51900195,0
51845553,51900581,1
51834280,51900581,1
51865934,51900930,0
51849033,51901287,0
51896933,51901369,1
51867555,51901421,0
51899815,51901563,1
51834437,51901575,0
51869613,51901717,1
51860684,51901892,0
51886253,51902109,0
51889600,51902323,1
51860257,51902323,0
51857342,51902572,1
51866971,51902579,1
51840354,51902656,0
51868373,51902700,0
51866621,51902894,0
51896310,51902980,0
51840365,51903066,1
51888867,51903069,0
51886390,51903427,1
51897210,51903514,0
51897027,51903514,1
51834493,51903515,0
51851721,51903568,1
51821168,51903778,0
51897327,51903853,1
51821460,51903979,1
51825797,51904202,1
51887318,51904215,0
51838433,51904257,1
51900917,51904257,1
51904197,51904265,1
51828726,51904265,0
51888789,51904275,1
51865683,51904363,1
51828338,51904599,0
51839246,51904599,1
51866393,51904599,1
51844838,51904864,0
51821311,51904900,0
51859537,51905310,0
51823330,51905399,0
51843978,51905414,1
51841455,51905602,0
51885984,51905772,1
51848120,51905816,0
51866393,51905952,1
51853429,51906229,0
51842511,51906310,1
51841931,51906439,1
51855110,51906614,0
51850872,51906638,0
51892729,51906794,0
51865210,51906845,0
51843186,51906869,0
51855524,51906977,1
51836002,51907124,1
51896142,51907263,0
51890394,51907314,0
51825827,51907359,1
51821699,51907421,0
51886165,51907858,1
51861136,51907965,0
51832924,51908181,0
51859880,51908327,0
51832360,51908338,0
51891798,51908387,0
51904811,51908387,1
51867711,51908389,1
51907964,51908410,0
51852449,51908499,1
51898412,51908791,0
51905997,51909174,1
51896999,51909424,0
51842355,51909512,0
51851939,51909701,1
51841438,51909702,1
51908574,51909927,1
51836012,51910136,0
51827802,51910164,1
51907759,51910244,0
51830737,51910632,1
51907389,51910734,1
51836709,51910734,1
51824611,51910841,1
51825505,51910843,1
51832647,51910965,0
51847371,51911100,0
51825048,51911428,1
51834865,51911475,1
51833563,51911558,1
51867069,51911662,1
51827063,51911862,0
51907669,51911934,0
51847525,51911979,1
51899692,51912119,1
51856849,51912163,1
51909389,51912444,0
51840494,51912789,0
51843762,51913056,0
51821438,51913168,0
51839246,51913215,1
51904599,51913215,1
51888299,51913397,1
51835203,51913478,0
51822983,51914354,1
51854875,51914566,0
51901595,51914632,1
51893754,51914959,0
51855662,51914999,1
51855264,51915256,0
51868473,51915366,0
51903948,51915386,1
51888614,51915576,0
51853461,51915760,0
51868105,51915805,0
51851637,51915816,1
51841552,51915982,0
51825892,51915982,1
51824417,51916240,0
51887032,51916369,1
51845697,51916571,1
51903810,51916658,0
51863839,51916672,1
51895156,51916735,0
51910207,51916815,0
51835221,51917362,1
51912809,51917362,0
51855305,51917713,0
51895341,51917750,1
51867691,51917767,1
51908772,51917894,1
51847339,51918167,1
51824432,51918258,1
51903217,51918374,0
51894031,51918433,1
51830580,51918521,0
51827497,51918582,0
51869710,51918709,1
51837209,51918760,0
51897027,51918777,1
51893898,51918870,0
51853838,51918936,0
51901640,51919061,0
